name,country,city,postalCode,street,number,box
Grote Markt,Belgium,Brussels,1000,Rue de la Loi,1,A
Stadspark,Belgium,Antwerp,2000,Meir,200,
Centrumplein,Belgium,Ghent,9000,Veldstraat,15,B
Havengebied,Belgium,Zeebrugge,8380,Kustlaan,120,C
Oude Markt,Belgium,Leuven,3000,Bondgenotenlaan,78,
Groene Weide,Belgium,Hasselt,3500,Kapelstraat,50,D
Rivierpad,Belgium,Namur,5000,Rue de Fer,10,
Stadspark,Belgium,Mechelen,2800,Bruul,300,E
Zuidstation,Belgium,Charleroi,6000,Boulevard Tirou,42,F
Techwijk,Belgium,Louvain-la-Neuve,1348,Place de l'Université,88,
Vrijheidsplein,Belgium,Kortrijk,8500,Leiestraat,100,G
Gouden Poort,Belgium,Bruges,8000,Steenstraat,33,H
Stadscentrum,Belgium,Mons,7000,Grand Rue,66,
Festivalweide,Belgium,Dessel,2480,Kastelsedijk,77,I
Jazzwijk,Belgium,Dinant,5500,Rue Grande,23,J
Hoofdstad,Belgium,Tervuren,3080,Leuvensesteenweg,999,
Heuvelzicht,Belgium,Liège,4000,Rue Pont d’Avroy,45,K
Zonsopganglaan,Belgium,Genk,3600,Winterslagstraat,5,
Meerzicht,Belgium,Turnhout,2300,Otterstraat,300,L
Arenabuurt,Belgium,Sint-Truiden,3800,Stationsstraat,21,M
