name,description
Street Food,Quick bites from around the world
Gourmet,Fine dining and premium cuisine
Beverages,Drinks including wine, beer, and cocktails
Vegan & Vegetarian,Plant-based food festivals
Desserts,Cakes, pastries, and sweets
Seafood,Festivals featuring fish and ocean fare
BBQ,Grilled meats and smoked specialties
International Cuisine,Dishes from global cultures
Organic,Eco-friendly and health-conscious food
Cheese & Dairy,Cheese tastings and dairy delights
Chocolate,Cocoa-based treats and delicacies
Coffee & Tea,Beverage-centric events
Bakery,Bread, pastries, and baked goods
Local Specialties,Regional and traditional dishes
Spicy Food,Hot and spicy culinary challenges
